Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Plant Biology,Physiology,Journal of Plant Physiology,https://www.journals.elsevier.com/journal-of-plant-physiology,For-profit,Elsevier,,,Netherlands,Hybrid,2668,,Yes,No,No,1.17,Q1 (Agronomy and Crop Science; Physiology; Plant Science),173,No,1618-1328,0176-1617,0176-1617
Plant Biology,Generalist,Journal of Plant Research,https://link.springer.com/journal/10265,For-profit Society-run,Springer Nature,The Botanical Society of Japan,Society/Association,Germany / UK,Hybrid,2200,,Yes,No,No,0.668,Q2 (Plant Science),89,No,1618-0860,0918-9440,0918-9440
Plant Biology,Generalist,Lankesteriana,https://www.lankesteriana.org/,University Press,Lankester Botanical Garden (University of Costa Rica),Lankester Botanical Garden (University of Costa Rica),University/Government,Costa Rica,OA diamond,0,,Yes,Yes,No,0.368,Q2 (Plant Science),20,No,2215-2067,1409-3871,1409-3871
Plant Biology,Generalist,Lindbergia,https://www.lindbergia.org/,Non-profit,Oikos Editorial Office,Nordic Bryological Society; Dutch Bryological and Lichenological Society,Society/Association,Sweden,OA,,,Yes,Yes,No,0.289,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",21,No,2001-5909,0105-0761,
Plant Biology,Generalist,Mediterranean Botany,https://revistas.ucm.es/index.php/MBOT,University Press,University Complutense of Madrid,Servicio de Publicaciones UCM,University/Government,Spain,OA diamond,0,,Yes,Yes,No,0.375,Q2 (Plant Science),21,No,2603-9109,,2603-9109
Plant Biology,Molecular and Cellular Biology,Molecular Horticulture,https://molhort.biomedcentral.com/,For-profit,Springer Nature,Shanghai Jiao Tong University,,Germany / UK,OA diamond,0,,Yes,Yes,No,2.457,Q1 (Agronomy and Crop Science; Horticulture; Molecular Biology; Plant Science),22,No,2730-9401,,2730-9401
Plant Biology,Molecular and Cellular Biology,Molecular Plant,https://www.cell.com/molecular-plant,For-profit,Elsevier (Cell Press),,,USA,Hybrid,2680,,Yes,No,Yes,7.692,Q1 (Molecular Biology; Plant Science),198,No,1752-9867,1674-2052,1674-2052
Plant Biology,Molecular and Cellular Biology,Molecular Plant Pathology,https://bsppjournals.onlinelibrary.wiley.com/journal/13643703,For-profit Society-Run,John Wiley & Sons,British Society for Plant Pathology,Society/Association,USA,OA,3207,,Yes,Yes,Yes,1.453,Q1 (Agronomy and Crop Science; Plant Science; Soil Science),145,No,1364-3703,1464-6722,1364-3703
Plant Biology,Generalist,Nature Plants,https://www.nature.com/nplants/,For-profit,Springer Nature,,,Germany,Hybrid,9918,,Yes,No,Yes,5.106,Q1 (Plant Science),169,No,2055-0278,,2055-0278
Plant Biology,Generalist,New Phytologist,https://nph.onlinelibrary.wiley.com/journal/14698137,For-profit Society-run,John Wiley & Sons,New Phytologist Foundation,Non-profit,USA,Hybrid,5820,,Yes,No,Yes,3.185,Q1 (Physiology; Plant Science),347,No,1469-8137,0028-646X,0028-646X
Plant Biology,Generalist,Nordic Journal of Botany,https://nsojournals.onlinelibrary.wiley.com/journal/17561051,For-profit Society-run,John Wiley & Sons,Nordic Society Oikos,Society/Association,USA,Hybrid,1742,,Yes,No,No,0.342,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",45,PCI friendly,1756-1051,0107-055X,0107-055X
Plant Biology,Generalist,PeerJ Open Advances in Plant Science,https://peerj.com/journals/openadv-plant/home,For-profit,PeerJ,,,UK,,,,No,No,No,,,,No,,,
Plant Biology,Generalist,"Perspectives in Plant Ecology, Evolution and Systematics",https://www.sciencedirect.com/journal/perspectives-in-plant-ecology-evolution-and-systematics,For-profit,Elsevier,,,Netherlands,Hybrid,1775,,Yes,No,No,0.918,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",97,No,1618-0437,1433-8319,1433-8319
Plant Biology,Generalist,Phycologia,https://www.tandfonline.com/journals/uphy20,For-profit Society-run,Taylor & Francis Group,International Phycological Society,Society/Association,UK,Hybrid,2650,,Yes,No,No,0.46,Q2 (Aquatic Science; Plant Science),81,No,2330-2968,0031-8884,0031-8884
Plant Biology,Molecular and Cellular Biology,Physiological and Molecular Plant Pathology,https://www.sciencedirect.com/journal/physiological-and-molecular-plant-pathology,For-profit,Elsevier,,,Netherlands,Hybrid,2156,,Yes,No,No,0.744,Q1 (Plant Science),96,No,1096-1178,0885-5765,0885-5765
Plant Biology,Molecular and Cellular Biology,Phytochemistry Reviews,https://link.springer.com/journal/11101,For-profit,Springer Nature,,,Germany / UK,Hybrid,2662,,Yes,No,No,1.59,Q1 (Biotechnology; Plant Science),124,No,1572-980X,1568-7767,1568-7767
Plant Biology,Physiology,Plant and Cell Physiology,https://academic.oup.com/pcp,University Press,Oxford University Press (OUP),,,UK,Hybrid,2990,,Yes,No,Yes,1.586,Q1 (Medicine; Physiology; Plant Science),199,No,1471-9053,0032-0781,0032-0781
Plant Biology,Agriculture,Plant and Soil,https://link.springer.com/journal/11104,For-profit,Springer Nature,,,Germany / UK,Hybrid,3593,,Yes,No,Yes,1.327,Q1 (Plant Science; Soil Science),250,No,1573-5036,0032-079X,0032-079X
